2.000000000000000000e+00 9.379999999999999449e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.000000000000000000e+00 9.379999999999999449e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.000000000000000000e+00 1.231999999999999984e+00 1.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.000000000000000000e+00 1.231999999999999984e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.000000000000000000e+00 1.231999999999999984e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.000000000000000000e+00 1.231999999999999984e+00 1.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.000000000000000000e+00 1.875609999999999999e+00 2.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00
2.000000000000000000e+00 2.808390000000000164e+00 3.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.000000000000000000e+00 2.808920000000000083e+00 3.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.727380000000000138e+00 4.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00
1.000000000000000000e+00 3.747590000000000199e+00 4.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00
1.000000000000000000e+00 3.748390000000000111e+00 4.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00
5.000000000000000000e+00 3.749220000000000219e+00 4.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00
5.000000000000000000e+00 3.750710000000000210e+00 4.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00
5.000000000000000000e+00 3.750729999999999897e+00 4.000000000000000000e+00 3.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00
3.000000000000000000e+00 3.751020000000000021e+00 4.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00
3.000000000000000000e+00 3.751050000000000217e+00 4.000000000000000000e+00 3.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00
3.000000000000000000e+00 3.751630000000000020e+00 4.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00
5.000000000000000000e+00 3.751679999999999904e+00 4.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00
3.000000000000000000e+00 3.751990000000000158e+00 4.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00
1.000000000000000000e+00 3.752660000000000107e+00 4.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00
1.000000000000000000e+00 3.752810000000000201e+00 4.000000000000000000e+00 3.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00
3.000000000000000000e+00 3.753330000000000055e+00 4.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00
3.000000000000000000e+00 3.753579999999999917e+00 4.000000000000000000e+00 3.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00
1.000000000000000000e+00 3.753760000000000208e+00 4.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00
3.000000000000000000e+00 3.754509999999999792e+00 4.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00
5.000000000000000000e+00 3.754799999999999915e+00 4.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00
3.000000000000000000e+00 3.755689999999999973e+00 4.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00
3.000000000000000000e+00 3.755749999999999922e+00 4.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00
5.000000000000000000e+00 3.755770000000000053e+00 4.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00
1.000000000000000000e+00 3.756019999999999914e+00 4.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00
5.000000000000000000e+00 3.756050000000000111e+00 4.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00
5.000000000000000000e+00 3.757270000000000110e+00 4.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00
4.000000000000000000e+00 4.667340000000000266e+00 5.000000000000000000e+00 3.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.000000000000000000e+00 4.667740000000000222e+00 5.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.000000000000000000e+00 4.668829999999999814e+00 5.000000000000000000e+00 3.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.000000000000000000e+00 4.669010000000000105e+00 5.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.000000000000000000e+00 4.684210000000000207e+00 5.000000000000000000e+00 3.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.000000000000000000e+00 4.684580000000000410e+00 5.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.000000000000000000e+00 4.691040000000000099e+00 5.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
